ticker,company,sector,sub_industry,cik
PAG,Penske Automotive Group,Consumer Discretionary,Automotive Retail,0001019849
PATH,UiPath,Information Technology,Systems Software,0001734722
PB,Prosperity Bancshares,Financials,Regional Banks,0001068851
PBF,PBF Energy,Energy,Oil & Gas Refining & Marketing,0001534504
PCTY,Paylocity,Industrials,Human Resource & Employment Services,0001591698
PEGA,Pegasystems,Information Technology,Application Software,0001013857
PEN,"Penumbra, Inc.",Health Care,Health Care Equipment,0001321732
PFGC,Performance Food Group,Consumer Staples,Food Distributors,0001618673
PII,Polaris,Consumer Discretionary,Leisure Products,0000931015
PINS,Pinterest,Communication Services,,0001506293
PK,Park Hotels & Resorts,Real Estate,Hotel & Resort REITs,0001617406
PLNT,Planet Fitness,Consumer Discretionary,Leisure Facilities,0001637207
PNFP,Pinnacle Financial Partners,Financials,Regional Banks,0002082866
POR,Portland General Electric,Utilities,Electric Utilities,0000784977
POST,Post Holdings,Consumer Staples,Packaged Foods & Meats,0001530950
PPC,Pilgrim's Pride,Consumer Staples,Packaged Foods & Meats,0000802481
PR,Permian Resources,Energy,Oil & Gas Exploration & Production,0001658566
PRI,Primerica,Financials,Life & Health Insurance,0001475922
PSN,Parsons Corporation,Industrials,Aerospace & Defense,0000275880
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0000078239
QLYS,Qualys,Information Technology,Systems Software,0001107843
R,Ryder,Industrials,Cargo Ground Transportation,0000085961
RBA,RB Global,Industrials,Diversified Support Services,0001046102
RBC,RBC Bearings,Industrials,Industrial Machinery & Supplies & Components,0001324948
REXR,Rexford Industrial Realty,Real Estate,Industrial REITs,0001571283
RGA,Reinsurance Group of America,Financials,Reinsurance,0000898174
RGEN,Repligen,Health Care,Biotechnology,0000730272
RGLD,Royal Gold,Materials,Gold,0000085535
RH,RH,Consumer Discretionary,Homefurnishing Retail,0001528849
RLI,RLI Corp.,Financials,Property & Casualty Insurance,0000084246
RMBS,Rambus,Information Technology,Semiconductors,0000917273
RNR,RenaissanceRe,Financials,Reinsurance,0000913144
ROIV,Roivant Sciences,Health Care,Biotechnology,0001635088
RPM,RPM International,Materials,Specialty Chemicals,0000110621
RRC,Range Resources,Energy,Oil & Gas Exploration & Production,0000315852
RRX,Regal Rexnord,Industrials,Electrical Components & Equipment,0000082811
RS,"Reliance, Inc.",Materials,Steel,0000861884
RYAN,Ryan Specialty,Financials,Insurance Brokers,0001849253
RYN,Rayonier,Real Estate,Timber REITs,0000052827
SAIA,Saia,Industrials,Cargo Ground Transportation,0001177702
SAIC,Science Applications Intl Corp,Industrials,Diversified Support Services,0001571123
SAM,Boston Beer Company,Consumer Staples,Brewers,0000949870
SARO,StandardAero,Industrials,Aerospace & Defense,0002025410
SBRA,Sabra Health Care REIT,Real Estate,Health Care REITs,0001492298
SCI,Service Corp Intl,Consumer Discretionary,Specialized Consumer Services,0000089089
SEIC,SEI Investments Company,Financials,Asset Management & Custody Banks,0000350894
SF,Stifel,Financials,Investment Banking & Brokerage,0000720672
SFM,Sprouts Farmers Market,Consumer Staples,Food Retail,0001575515
SGI,Somnigroup International,Consumer Discretionary,Home Furnishings,0001206264
SHC,Sotera Health,Health Care,Health Care Services,0001822479
SIGI,Selective Insurance Group,Financials,Property & Casualty Insurance,0000230557
SITM,SiTime,Information Technology,Semiconductors,0001451809
SLAB,Silicon Labs,Information Technology,Semiconductors,0001038074
SLGN,Silgan Holdings,Materials,"Metal, Glass & Plastic Containers",0000849869
SLM,SLM Corp,Financials,Consumer Finance,0001032033
SMG,Scotts Miracle-Gro Company,Materials,Fertilizers & Agricultural Chemicals,0000825542
SN,SharkNinja,Consumer Discretionary,Household Appliances,0001957132
SNX,TD Synnex,Information Technology,Technology Distributors,0001177394
SOLS,Solstice Advanced Materials,Materials,Specialty Chemicals,0002064953
SON,Sonoco,Materials,Paper & Plastic Packaging Products & Materials,0000091767
SPXC,SPX Technologies,Industrials,Industrial Machinery & Supplies & Components,0000088205
SR,Spire,Utilities,Gas Utilities,0001126956
SSB,South State Bank,Financials,Regional Banks,0000764038
SSD,Simpson Manufacturing,Industrials,Building Products,0000920371
ST,Sensata Technologies,Industrials,Electrical Components & Equipment,0001477294
STAG,STAG Industrial,Real Estate,Industrial REITs,0001479094
STRL,Sterling Infrastructure,Industrials,Construction & Engineering,0000874238
STWD,Starwood Property Trust,Financials,Mortgage REITs,0001465128
SWX,Southwest Gas Corp,Utilities,Gas Utilities,0001692115
SYNA,Synaptics,Information Technology,Semiconductors,0000817720
TCBI,Texas Capital Bancshares,Financials,Regional Banks,0001077428
TEX,Terex,Industrials,Construction Machinery & Heavy Transportation Equipment,0000097216
THC,Tenet Health,Health Care,Health Care Facilities,0000070318
THG,Hanover Insurance,Financials,Property & Casualty Insurance,0000944695
THO,Thor Industries,Consumer Discretionary,Leisure Products,0000730263
TKR,Timken,Industrials,Industrial Machinery & Supplies & Components,0000098362
TLN,Talen Energy,Utilities,Independent Power Producers & Energy Traders,0001622536
TMHC,Taylor Morrison,Consumer Discretionary,Homebuilding,0001562476
TNL,Travel + Leisure Co.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001361658
TOL,Toll Brothers,Consumer Discretionary,Homebuilding,0000794170
TREX,Trex,Industrials,Building Products,0001069878
TRU,TransUnion,Industrials,Research & Consulting Services,0001552033
TTC,Toro,Industrials,Agricultural & Farm Machinery,0000737758
TTEK,Tetra Tech,Industrials,Construction & Engineering,0000831641
TTMI,TTM Technologies,Information Technology,Electronic Manufacturing Services,0001116942
TWLO,Twilio,Information Technology,Systems Software,0001447669
TXNM,TXNM Energy,Utilities,Electric Utilities,0001108426
TXRH,Texas Roadhouse,Consumer Discretionary,Restaurants,0001289460
UBSI,United Bankshares,Financials,Regional Banks,0000729986
UFPI,UFP Industries,Industrials,Building Products,0000912767
UGI,UGI Corp,Utilities,Gas Utilities,0000884614
ULS,UL Solutions,Industrials,,0001901440
UMBF,UMB Financial Corp.,Financials,Regional Banks,0000101382
UNM,Unum,Financials,Life & Health Insurance,0000005513
USFD,US Foods,Consumer Staples,Food Distributors,0001665918
UTHR,United Therapeutics,Health Care,Biotechnology,0001082554
VAL,Valaris,Energy,Oil & Gas Drilling,0000314808
VC,Visteon,Consumer Discretionary,Automotive Parts & Equipment,0001111335
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0000103379
VICR,Vicor Corporation,Industrials,Electrical Components & Equipment,0000751978
VLY,Valley Bank,Financials,Regional Banks,0000714310
VMI,Valmont Industries,Industrials,Industrial Machinery & Supplies & Components,0000102729
VNO,Vornado Realty Trust,Real Estate,Office REITs,0000899689
VNOM,Viper Energy,Energy,Oil & Gas Storage & Transportation,0002074176
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,0001786842
VOYA,Voya Financial,Financials,Multi-Sector Holdings,0001535929
VVV,Valvoline,Consumer Discretionary,Automotive Retail,0001674910
WAL,Western Alliance Bancorporation,Financials,Regional Banks,0001212545
WBS,Webster Bank,Financials,Regional Banks,0000801337
WCC,WESCO International,Industrials,Trading Companies & Distributors,0000929008
WEX,WEX Inc.,Financials,Transaction & Payment Processing Services,0001309108
WFRD,Weatherford International,Energy,Oil & Gas Equipment & Services,0001603923
WH,Wyndham Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0001722684
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,0000106640
WING,Wingstop,Consumer Discretionary,Restaurants,0001636222
WLK,Westlake Corporation,Materials,Specialty Chemicals,0001262823
WMG,Warner Music Group,Communication Services,Movies & Entertainment,0001319161
WMS,Advanced Drainage Systems,Industrials,Building Products,0001604028
WPC,W. P. Carey,Real Estate,Diversified REITs,0001025378
WSO,Watsco,Industrials,Trading Companies & Distributors,0000105016
WTFC,Wintrust Financial,Financials,Regional Banks,0001015328
WTRG,Essential Utilities,Utilities,Water Utilities,0000078128
WTS,Watts Water Technologies,Industrials,Building Products,0000795403
WWD,"Woodward, Inc.",Industrials,Electrical Components & Equipment,0000108312
XPO,"XPO, Inc.",Industrials,Cargo Ground Transportation,0001166003
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,0000818479
YETI,Yeti Holdings,Consumer Discretionary,Leisure Products,0001670592
ZION,Zions Bancorporation,Financials,Regional Banks,0000109380
